mint_number,NRI,Collection Rank,hand,shirt,head,waist,foot,pants,underwear,accessory,hand_probability,shirt_probability,head_probability,waist_probability,foot_probability,pants_probability,underwear_probability,accessory_probability,total_probability
58,0.3404574428196475,5277,Laptop,Futuristic Sports Bra,"""Aesthetic"" Worn Out Bow Hat (Monogramed) 🔥",Jeweled Belt,Studded Boots,Capri Pants,Midway Briefs,Feather Boa,0.01837270341207349,0.004124484439445069,0.00012498437695288088,0.05486814148231471,0.023747031621047368,0.025996750406199226,0.04361954755655543,0.011623547056617924,1.6265482210891714e-16
59,0.3474565679290089,5221,Paintbrush,Tailcoat,Old Coonskin Cap,Shoelace Belt,1950s Sandals,Trousers,Midway Briefs,Monocle,0.017497812773403325,0.013748281464816898,0.0004999375078115235,0.05411823522059742,0.0013748281464816899,0.02799650043744532,0.04361954755655543,0.01262342207224097,1.3794372502480095e-16
60,0.3962004749406324,4831,Massager,1970s Button Up,1800s Captain Hat,Chrome Belt,Old Studded Boots,Shorts,Midway Briefs,Watch,0.01837270341207349,0.006124234470691163,0.0006249218847644045,0.05061867266591676,0.0011248593925759281,0.030246219222597175,0.04361954755655543,0.011873515810523684,6.27178535560921e-17
61,0.4856892888388952,4115,Victorian Surf Board,Bikini Top,Headband,Studded Belt,Sandals,Hot Pants,Midway Briefs,"""Bright Yellow"" Medieval Monocle (Synthetic) 🔥",0.0004999375078115235,0.016372953380827397,0.014498187726534183,0.05649293838270216,0.025746781652293462,0.026496687914010747,0.04361954755655543,0.00012498437695288088,2.4934579924027457e-17
62,0.7580302462192225,1936,Cane,Overcoat,Bow Hat,Jeweled Belt,Old Studded Boots,Tights,1800s String Bikini,Used Cross Necklace,0.021372328458942633,0.015748031496062992,0.01274840644919385,0.05486814148231471,0.0011248593925759281,0.021372328458942633,0.0006249218847644045,0.00012498437695288088,4.420646711353208e-19
63,0.991626046744157,67,5yr Old Book,Tank Top,"""Psychedelic"" Brand New Coonskin Cap (Ugly) 🔥",Shoelace Belt,1950s Sandals,Vintage Shorts,"""8 Bit"" 5yr Old String Bikini (Trendy) 🔥",Amulet,0.0004999375078115235,0.013123359580052493,0.00012498437695288088,0.05411823522059742,0.0013748281464816899,0.0003749531308586427,0.00012498437695288088,0.010748656417947757,3.073232480977974e-23
64,0.41307336582927134,4696,1970s Scissors,Tuxedo Jacket,Captain Hat,Chrome Belt,Studded Boots,3yr Old Chaps,Granny Panties,Golf Bag,0.00024996875390576176,0.014998125234345707,0.01549806274215723,0.05061867266591676,0.023747031621047368,0.0011248593925759281,0.05199350081239845,0.012373453318335208,5.054269815385743e-17
65,0.8815148106486689,948,Victorian Pillow,"""Cloud White"" Brand New Cardigan (Ugly) 🔥",Yarmulke,Studded Belt,1950s Sandals,Kilt,Granny Panties,Medieval Stethoscope,0.0004999375078115235,0.00012498437695288088,0.016122984626921636,0.05649293838270216,0.0013748281464816899,0.02837145356830396,0.05199350081239845,0.00024996875390576176,2.88519945714193e-20
66,0.5433070866141732,3654,Used Beggar Cup,Sports Bra,Flower Crown,Fish Belt,"""Forest Green"" Old Studded Boots (Synthetic) 🔥",Leggings,Garter,Bracelet,0.0006249218847644045,0.015748031496062992,0.013873265841769778,0.049868766404199474,0.00012498437695288088,0.0281214848143982,0.0536182977127859,0.010623672040994875,1.3631416783924517e-17
67,0.04536932883389577,7638,Cane,Polo Shirt,Feather Hat,Fish Belt,Boat shoes,Track Pants,Garter,Engagement Ring,0.021372328458942633,0.015873015873015872,0.012998375203099613,0.049868766404199474,0.021747281589801274,0.026121734783152106,0.0536182977127859,0.010498687664041995,7.032083446960257e-14
68,0.9725034370703662,220,1970s Wand,Button Up,1980s Doo Rag,Belt,Studded Boots,3yr Old Shorts,Used Bikini,3yr Old Grocery Bag,0.00024996875390576176,0.01549806274215723,0.0007499062617172854,0.1078615173103362,0.023747031621047368,0.0004999375078115235,0.000999875015623047,0.00012498437695288088,4.649038502230166e-22
69,0.8516435445569304,1187,Cane,Shirt,Yarmulke,Belt,1980s Leather Boots,1920s Baggy Pants,1990s Midway Briefs,1990s Goggles,0.021372328458942633,0.01824771903512061,0.016122984626921636,0.1078615173103362,0.000999875015623047,0.0007499062617172854,0.0006249218847644045,0.00024996875390576176,7.943950810070837e-20
70,0.7885264341957255,1692,Futuristic Pocket Watch,Overcoat,Flower Crown,Vintage Fish Belt,Linen Shoes,Shorts,Boy Shorts,"""Icy"" Used Steamer Trunk (Drippin) 🔥",0.0003749531308586427,0.015748031496062992,0.013873265841769778,0.0008748906386701663,0.022122234720659918,0.030246219222597175,0.047244094488188976,0.00012498437695288088,2.831646839313852e-19
71,0.41919760029996256,4647,Record Player,Bandeau Top,Feather Hat,Worn Out Fish Belt,Espadrilles,Brand New Hot Pants,String Bikini,Cyclops Glasses,0.01937257842769654,0.017747781527309086,0.012998375203099613,0.0011248593925759281,0.02099737532808399,0.0006249218847644045,0.05486814148231471,0.012998375203099613,4.704558504044344e-17
72,0.41719785026871636,4663,Laptop,Button Up,Doo Rag,Vintage Belt,Loafers,Kilt,G-String,Futuristic Antique Watch,0.01837270341207349,0.01549806274215723,0.010123734533183352,0.0013748281464816899,0.022622172228471443,0.02837145356830396,0.050368703912010995,0.0003749531308586427,4.803892646675826e-17
73,0.6427946506686664,2858,Old Dog Leash,5yr Old Bikini Top,Sombrero,Belt,"""Psychedelic"" 3yr Old Slippers (Dirty) 🔥",Skort,Granny Panties,Ascot,0.00024996875390576176,0.004874390701162355,0.012998375203099613,0.1078615173103362,0.00012498437695288088,0.025871766029246346,0.05199350081239845,0.011748531433570804,3.3742410460872502e-18
74,0.9965004374453194,28,"""Floral"" 1800s TV Controller (Monogramed) 🔥",Safari Jacket,Propeller Hat,Medieval Bat Belt,1920s Hightops,1970s Track Pants,Second Hand Diaper,Used Wallet,0.00012498437695288088,0.016372953380827397,0.014248218972628422,0.001249843769528809,0.0013748281464816899,0.0006249218847644045,0.0003749531308586427,0.0003749531308586427,4.40176834252694e-24
75,0.911886014248219,705,Wrench,Kimono,Space Helmet,"""Neon"" 2yr Old Chrome Belt (Casual) 🔥",Sandals,"""Flashing"" Brand New Sweat Pants (Hip) 🔥",5yr Old Garter,Contact Lenses,0.01862267216597925,0.018872640919885015,0.013123359580052493,0.00012498437695288088,0.025746781652293462,0.00012498437695288088,0.0004999375078115235,0.0111236095488064,1.0316100629092818e-20
76,0.3684539432570929,5053,Wand,1970s Button Up,Wedding Veil,Bat Belt,Studded Boots,Baggy Pants,"""Blazing"" Worn Out Bikini (Expensive) 🔥",Guitar Case,0.01949756280464942,0.006124234470691163,0.013123359580052493,0.06161729783777028,0.023747031621047368,0.025746781652293462,0.00012498437695288088,0.012248468941382326,9.037527472179287e-17
77,0.37582802149731287,4994,Massager,Bikini Top,Sombrero,Chrome Belt,Used Cowboy Boots,Cargo Pants,Bikini,Medieval Casio Watch,0.01837270341207349,0.016372953380827397,0.012998375203099613,0.05061867266591676,0.0006249218847644045,0.02712160979877515,0.03812023497062867,0.0006249218847644045,7.991391576179827e-17
78,0.5765529308836396,3388,"""Gold"" 3yr Old Cat (Cute) 🔥",Safari Jacket,Propeller Hat,Shoelace Belt,Linen Shoes,Crop Pants,Worn Out G-String,Purse,0.00012498437695288088,0.016372953380827397,0.014248218972628422,0.05411823522059742,0.022122234720659918,0.030371203599550055,0.0007499062617172854,0.011623547056617924,9.241098916930401e-18
79,0.6819147606549181,2545,Victorian Pillow,Victorian Kimono,Brand New Space Helmet,Platinum Belt,1970s Flip Flops,Cargo Shorts,G-String,Necklace,0.0004999375078115235,0.0064991876015498065,0.0006249218847644045,0.051118610173728284,0.0008748906386701663,0.02687164104486939,0.050368703912010995,0.012248468941382326,1.5054630677236746e-18
80,0.7015373078365204,2388,Beggar Cup,Ring Mail,1950s Wedding Veil,Shoelace Belt,Brand New Loafers,Futuristic Trousers,G-String,Hat Bag,0.01849768778902637,0.014373203349581302,0.0006249218847644045,0.05411823522059742,0.0007499062617172854,0.00024996875390576176,0.050368703912010995,0.012248468941382326,1.0398618877155568e-18
81,0.2569678790151231,5945,Tennis Racket,Trench Coat,Safari Hat,Platinum Belt,Stilletos,Skinny Jeans,Victorian G-String,Tackle Box,0.01937257842769654,0.015623047119110112,0.013373328333958255,0.051118610173728284,0.02124734408198975,0.026246719160104987,0.0006249218847644045,0.010498687664041995,7.570283436899277e-16
82,0.6015498062742157,3188,Microphone,"""Crunchy"" Second Hand Corset (Kawaii) 🔥",Beanie,Bat Belt,Hightops,3yr Old Cutoff Pants,Thong,3D Glasses,0.015998000249968752,0.00012498437695288088,0.012373453318335208,0.06161729783777028,0.023622047244094488,0.0003749531308586427,0.045744281964754406,0.010748656417947757,6.638967089458699e-18
